SampleTimeFine,Roll,Pitch,Yaw
168978,1.097185,-82.786406,-1.264078
169078,0.689826,-82.664483,-0.810893
169178,0.226663,-82.532481,-0.350452
169278,-0.151928,-82.395093,-0.005354
169378,-0.415278,-82.283713,0.216551
169478,-0.589626,-82.210536,0.364507
169578,-0.637077,-82.170022,0.415383
169678,-0.536458,-82.16141,0.355738
169778,-0.323289,-82.188439,0.222146
169878,-0.080372,-82.236551,0.08475
169978,0.099484,-82.282577,0.023063
170078,0.133575,-82.299487,0.10589
170178,0.039513,-82.27401,0.294475
170278,-0.135219,-82.224275,0.540487
170378,-0.348255,-82.172307,0.802059
170478,-0.566503,-82.132499,1.050003
170578,-0.790493,-82.10024,1.291212
170678,-1.021081,-82.072406,1.527124
170778,-1.254468,-82.054621,1.757634
170878,-1.486286,-82.047927,1.980173
170978,-1.711233,-82.051283,2.193457
171078,-1.934014,-82.062016,2.400665
171178,-2.149274,-82.071847,2.593845
171278,-2.346882,-82.068347,2.76862
171378,-2.510667,-82.042084,2.910279
171478,-2.60762,-81.987078,2.980134
171578,-2.634453,-81.919188,2.979208
171678,-2.607654,-81.860295,2.922244
171778,-2.532732,-81.830843,2.822175
171878,-2.418981,-81.841644,2.70493
171978,-2.261752,-81.880683,2.574633
172078,-2.072219,-81.931835,2.440947
172178,-1.852816,-81.986529,2.303527
172278,-1.607114,-82.04219,2.161997
172378,-1.321437,-82.111656,2.002468
172478,-0.977378,-82.209982,1.799067
172578,-0.586925,-82.336409,1.553131
172678,-0.150288,-82.476825,1.261524
172778,0.303996,-82.620959,0.955627
172878,0.77135,-82.744175,0.640595
172978,1.235156,-82.829309,0.327218
173078,1.722638,-82.880313,-0.020723
173178,2.231998,-82.911221,-0.406384
173278,2.777083,-82.921094,-0.85532
173378,3.383513,-82.896772,-1.40122
173478,4.068003,-82.83983,-2.052464
173578,4.856575,-82.768606,-2.829318
173678,5.780884,-82.689415,-3.760452
173778,6.853356,-82.594947,-4.849967
173878,8.012091,-82.46621,-6.029081
173978,9.157149,-82.283054,-7.197967
174078,10.144049,-82.030183,-8.215795
174178,10.866115,-81.713811,-8.99944
174278,11.319741,-81.370439,-9.532501
174378,11.563238,-81.040695,-9.820168
174478,11.599759,-80.737384,-9.830751
174578,11.482889,-80.470147,-9.586603
174678,11.359998,-80.260095,-9.251674
174778,11.218615,-80.12151,-8.893665
174878,11.106332,-80.083071,-8.585639
174978,11.171481,-80.158777,-8.436634
175078,11.451432,-80.331581,-8.461919
175178,11.893074,-80.561108,-8.650597
175278,12.369502,-80.787639,-8.948469
175378,12.636597,-80.937267,-9.158366
175478,12.59421,-80.971011,-9.175339
175578,12.238281,-80.918079,-8.959185
175678,11.62929,-80.847901,-8.541863
175778,10.935545,-80.812599,-8.063349
175878,10.294998,-80.820701,-7.621837
175978,9.819077,-80.863176,-7.293769
176078,9.57727,-80.931807,-7.125086
176178,9.509347,-81.036224,-7.05815
176278,9.532819,-81.180845,-7.033375
176378,9.565976,-81.348725,-7.003817
176478,9.520773,-81.535567,-6.905429
176578,9.328013,-81.722518,-6.690407
176678,8.940194,-81.890165,-6.325825
176778,8.346744,-82.029313,-5.807436
176878,7.562033,-82.143005,-5.142399
176978,6.629473,-82.239834,-4.354359
177078,5.600244,-82.330772,-3.469253
177178,4.521586,-82.420832,-2.521935
177278,3.447407,-82.507755,-1.563161
177378,2.448744,-82.5865,-0.668774
177478,1.571621,-82.652924,0.110913
