SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
129678,0.044473,0.484594,0.101966,-10.821538,-84.599319,9.049234,0.001779613,0.157909133
129778,-0.104624,0.329485,0.044776,-10.742384,-84.405061,8.909378,0.000781476,0.155468646
129878,-0.188117,0.151918,-0.001018,-10.647953,-84.31589,8.70608,-1.77672E-05,0.151921096
129978,-0.169332,-0.03661,-0.022899,-10.621941,-84.335391,8.582348,-0.000399656,0.149761973
130078,-0.085058,-0.176705,-0.04621,-10.563109,-84.436392,8.474168,-0.000806503,0.147874232
130178,0.025736,-0.274005,-0.067125,-10.419926,-84.594464,8.345038,-0.001171533,0.145620913
130278,0.129682,-0.324466,-0.072907,-10.229379,-84.781575,8.228177,-0.001272446,0.143581689
130378,0.209011,-0.280607,-0.084661,-9.85728,-84.945059,7.974688,-0.001477588,0.139158306
130478,0.273812,-0.155804,-0.104927,-9.159165,-85.039704,7.431242,-0.001831291,0.129675173
130578,0.315456,0.036521,-0.124617,-8.09802,-85.026355,6.547372,-0.002174941,0.114251641
130678,0.329496,0.231494,-0.142939,-6.76276,-84.902029,5.396306,-0.002494714,0.09416554
130778,0.34426,0.355492,-0.164177,-5.274139,-84.70594,4.099452,-0.002865381,0.071535437
130878,0.347886,0.395684,-0.181378,-3.765615,-84.484755,2.784258,-0.00316559,0.048585302
130978,0.353191,0.366526,-0.189942,-2.322169,-84.277485,1.537037,-0.003315058,0.026821296
131078,0.33961,0.314434,-0.182693,-1.026795,-84.097143,0.430409,-0.003188541,0.007510637
131178,0.284429,0.275104,-0.15588,0.021253,-83.937005,-0.459669,-0.002720574,-0.008021224
131278,0.192672,0.257217,-0.104109,0.696153,-83.785982,-1.027581,-0.001817014,-0.017931288
131378,0.082971,0.252436,-0.050742,1.005508,-83.637697,-1.291128,-0.0008856,-0.022530184
131478,-0.011791,0.233608,-0.024671,1.118915,-83.500439,-1.412196,-0.000430583,-0.02464282
131578,-0.066172,0.181374,-0.025179,1.204465,-83.39315,-1.53661,-0.000439449,-0.026813845
131678,-0.056764,0.120921,-0.036429,1.353606,-83.320391,-1.719639,-0.000635795,-0.030007701
131778,-0.010858,0.045517,-0.051085,1.606303,-83.290593,-1.980469,-0.000891587,-0.034559184
131878,0.043909,-0.035385,-0.06069,1.947691,-83.306839,-2.299012,-0.001059223,-0.040117759
131978,0.088734,-0.110616,-0.06907,2.372346,-83.365745,-2.675509,-0.001205479,-0.046687632
132078,0.118912,-0.160263,-0.074813,2.862087,-83.452568,-3.100068,-0.001305711,-0.054096187
132178,0.141464,-0.181572,-0.075145,3.384939,-83.551136,-3.544876,-0.001311506,-0.061858086
132278,0.162386,-0.172092,-0.07164,3.913434,-83.643942,-3.983221,-0.001250333,-0.069507206
132378,0.177199,-0.140664,-0.065609,4.420736,-83.718595,-4.39164,-0.001145074,-0.076634118
132478,0.187982,-0.112376,-0.060157,4.903835,-83.776964,-4.769449,-0.00104992,-0.083226885
132578,0.1879,-0.114708,-0.046324,5.322929,-83.837057,-5.082885,-0.000808493,-0.088696343
132678,0.168489,-0.144156,-0.031403,5.673785,-83.914553,-5.338842,-0.000548077,-0.093162793
132778,0.137648,-0.189045,-0.012289,5.936061,-84.018616,-5.523454,-0.00021448,-0.096384272
132878,0.098455,-0.233102,0.003264,6.123209,-84.148655,-5.65508,5.69666E-05,-0.098681146
132978,0.07307,-0.274381,0.014372,6.26493,-84.302857,-5.75564,0.000250835,-0.100435918
